entity_code,area_code,branch_code,principal_prefix,last_seq,updated_at,updated_by
A,SUM2,DABKT002,BKT,1561,7/9/2026 11:16:25,
A,SUM2,DAAMK002,AMK,268,4/30/2026,
A,SUM2,DAKMP001,PBR,2525,4/30/2026,
A,SUM2,DAPBR001,PBR,2530,7/23/2026,
A,SUM2,DAPBR002,PKU,303,4/30/2026,
A,SUM2,DAPRP001,PRP,1067,7/9/2026,
A,SUM2,DARGT001,RGT,822,4/30/2026,
A,SUM2,DATBH001,TBH,457,7/2/2026,
A,SUM2,DAPAD001,PAD,2277,4/30/2026,
A,SUM2,DAPMN001,PMN,490,7/2/2026,
A,SUM2,DASLK001,SLK,2011,6/29/2026,
A,SUM2,DASLK002,SLK,2008,7/15/2026,
A,SUM2,DAJMB001,JMB,2838,6/22/2026,
A,SUM2,DASPN001,SGP,700,4/30/2026,
A,SUM2,DAMRB001,MRB,1024,7/14/2026,
A,SUM2,DAPKK002,PKK,385,6/26/2026,
A,SUM2,DASAK001,SAK,446,6/22/2026,
A,SUM2,DATTG001,TTG,325,6/29/2026,
A,SUM2,DAUJT002,UJT,150,4/30/2026,
A,SUM2,DAUJT003,BB,910,7/15/2026,
A,SUM2,DABLS004,DR,857,7/15/2026,
A,SUM2,DADUM001,DUM,938,4/30/2026,
A,SUM2,DABLS002,PKN,176,7/22/2026,
A,SUM2,DABLS001,BLS,298,5/30/2026,
A,SUM3,DABGL001,BGL,1203,7/24/2026,
A,SUM3,DACRP001,CRP,656,6/1/2026,
A,SUM3,DALHT001,LHT,1073,7/20/2026,
A,SUM3,DALLG001,LLG,858,7/27/2026,
A,SUM3,DAMNA001,MNA,1042,7/2/2026,
A,SUM3,DABTM001,BTM,1683,29-01-2026,
A,SUM3,DATBK001,TBK,481,7/3/2026,
A,SUM3,DATBU001,TBU,668,5/20/2026,
A,SUM3,DATPG001,TPG,900,7/24/2026,
A,SUM3,DABDL001,BDL,1905,2/4/2026,
A,SUM3,DABDL002,BDP,105,29-01-2026,
A,SUM3,DAKTB001,KTB,679,7/27/2026,
A,SUM3,DAMET001,MET,1732,29-01-2026,
A,SUM3,DAPRW001,PRW,598,7/24/2026,
A,SUM3,DASGL001,SGL,1484,7/27/2026,
A,SUM3,DATDN001,TDN,1098,29-01-2026,
A,SUM3,DATWG001,TWG,1002,29-01-2026,
A,SUM3,DABTA001,BTA,1104,7/3/2026,
A,SUM3,DAIDL001,IDL,509,29-01-2026,
A,SUM3,DAIDL002,IDL,804,7/27/2026,
A,SUM3,DAPBM001,PBM,687,2/25/2026,
A,SUM3,DAPLG001,PLG,1877,7/16/2026,
A,SUM3,DAPLG002,PLB,1912,7/13/2026,
A,SUM3,DASKY001,SKY,522,2/20/2026,
A,SUM2,DATLK003,TLK,3910,6/3/2026,
A,SUM1,DARAP001,RAP,836,7/17/2026,
A,SUM1,DAKPI001,AKK,506,7/14/2026,
A,SUM1,DAPKIS001,PKIS,1891,5/16/2026,
A,SUM1,DAAKK002,PKI,229,7/6/2026,
A,SUM1,DASRH002,SRH,1013,7/23/2026,
A,SUM1,DATBT001,TBT,499,7/15/2026,
A,SUM1,DAKBJ001,KBJ,936,7/17/2026,
A,SUM1,DABNJ001,BNJ,1239,7/27/2026,
A,SUM1,DALGS001,LGS,720,6/5/2026,
A,SUM1,DALSK001,LSK,890,7/27/2026,
A,SUM1,DATKG001,TKG,827,7/27/2026,
A,SUM1,DABIR002,BIR,527,6/19/2026,
A,SUM1,DABNA001,BNA,2981,7/27/2026,
A,SUM1,DASGI002,SGI,996,7/24/2026,
A,SUM1,DAMBO001,MBO,529,5/13/2026,
A,SUM1,DABPD001,BPD,485,5/13/2026,
A,SUM1,DASBS001,SBS,562,7/22/2026,
A,SUM1,DAKTN001,KTN,536,7/21/2026,
A,SUM1,DAMDN004,MDN,40406,5/13/2026,
A,SUM1,DAMDN02,MDT,62636,5/13/2026,
A,SUM1,DAMDN001,MDN,198,5/13/2026,
A,SUM1,DASDK002,SDK,756,5/21/2026,
A,SUM1,DAPSP001,PSP,917,7/14/2026,
A,SUM1,DAPMS001,PMS,1291,7/21/2026,
A,SUM1,DABLG001,BLG,1266,7/20/2026,
A,SUM1,DASBG001,SBG,1086,7/15/2026,
A,SUM1,DAPYB002,PYB,1727,5/23/2026,
A,SUM1,DAPLS001,PLS,367,5/21/2026,
A,SUM1,DAGST001,GST,980,7/16/2026,
A,SUM1,DAMDN003,MED,14,7/24/2026,
