region_id,entity_id,branch_id,branch_name,admin_spreadsheet_id,admin_inbox_sheet,active (Y/N),updated_at,updated_by
ASWSUM1,SUMUT2,DARAP001,CV PANCA NIAGA JAYA RANTAU PRAPAT,10Y_kDbskvQu-R11M7JVrEmdbVS7oYS_j512UxvUmrL4,NOO_INBOX,Y,4/8/2026,admin
ASWSUM1,SUMUT2,DAKPI001,CV. BOROBUDUR INDAH KOTA PINANG,1X8BiyskNptSgEgtjg_yV8kUnfPdagqDiEi6KsAhtY4U,NOO_INBOX,Y,4/8/2026,admin
ASWSUM1,SUMUT2,DAAKK002,CV. ASIA JAYA AEK KANOPAN ,11UD7xgMEyfSC8Iu0zoFwmpq_Jcxo8IvZrzeZMTNBky0,NOO_INBOX,Y,4/8/2026,admin
ASWSUM1,SUMUT2,DAKBJ001,CV. KARYA BARU BERSAMA KABAN JAHE,1yylZOLWu3W-pl0QEExWdBByg5SvPOvgjY-K6OQOAz1w,NOO_INBOX,Y,4/8/2026,admin
ASWSUM1,SUMUT2,DAPKIS001,CV. PANCA NIAGA JAYA KISARAN ,1zM-ZYmujUM-46f7ZI8dpxnS0cGE5eziNEjdVRXZ_aAc,NOO_INBOX,Y,4/8/2026,admin
ASWSUM1,SUMUT2,DASDK002,CV. NIAGA AGRO SENTOSA SIDIKALANG,1QS0ERaR6iQo6xQc14gHRU0kpEewYLLCkjTer_frokkQ,NOO_INBOX,Y,5/21/2026,admin
ASWSUM1,SUMUT2,DASRH002,CV. CENTRAL ONE KAMPUNG PON,1YrpbPZkKMI-Dho1GZI483v51ohbGF6HFwvxu1Q8K8PQ,NOO_INBOX,Y,4/8/2026,admin
ASWSUM1,SUMUT2,DATBT001,CV. CENTRAL ONE INDRAPURA,1vXvzexTlYrjqrlgdFuiZHjWGjsdK2h0XrH8SwOE-u2M,NOO_INBOX,Y,4/8/2026,admin
ASWSUM1,NAD1,DABNJ001,CV. MITRA JAYA ABADI LANGKAT,1RVqaZ85Tr5T6SrwzW7fo_EUlZJgLxxJqYyXmJfsoaOk,NOO_INBOX,Y,5/13/2026,admin
ASWSUM1,NAD1,DALGS001,CV. SEMANGAT BAROE LANGSA,1eftq5hVvW81MXy3IyTkCH60fhgpFh-ZbQvjnWznYX38,NOO_INBOX,Y,5/13/2026,admin
ASWSUM1,NAD1,DALSK001,UD. USDA BARU LHOKSUKON,1HjZYuxBEQOIUnoqHYb4IwNaNsVPluDykoLx12UdZfbU,NOO_INBOX,Y,5/13/2026,admin
ASWSUM1,NAD1,DATKG001,PT. INAYA DARKA ABADI TAKENGON,19n--ozI3kwTGnaLGViOTxQehmy1DKW2h30zgdge7ZO4,NOO_INBOX,Y,5/13/2026,admin
ASWSUM1,NAD1,DABIR002,UD. AD RAHMAT BIREUN,1sW2i-HRsmc64v8WGe9ykw2I6lv0oXCqwDwU1vrsVWh4,NOO_INBOX,Y,5/13/2026,admin
ASWSUM1,NAD2,DABNA001,PT. SUKSES JAYA MAKMUR ABADI BANDA ACEH,1QYqx_JYU8DMoKeYfmANsYqYl9gu91iYx_NTu_OEUdaE,NOO_INBOX,Y,5/13/2026,admin
ASWSUM1,NAD2,DASGI002,PT. SUKSES JAYA MAKMUR ABADI SIGLI,10BCPUAdrJMQmerdJSZu7dwomV-V-tbCz-mXJcQ1w-gU,NOO_INBOX,Y,5/13/2026,admin
ASWSUM1,NAD2,DAMBO001,CV. AGRA DISTRIBUSI TAMA MEULABOH,1u7sQ7jbU0ZIG2t51J_RuWAWKe2iwL0hkoJkvzevGzY8,NOO_INBOX,Y,5/13/2026,admin
ASWSUM1,NAD2,DABPD001,CV. MEUTUAH RAYA BLANGPIDIE,1QtwtXg0enSmG7n9vaSY5I1T6oXHpRr8RCAelM666wFU,NOO_INBOX,Y,5/13/2026,admin
ASWSUM1,NAD2,DASBS001,PT. BEUDOH MAKMUE ACEH SUBUSSALAM,1-drm1Uoq0Vg5J11-d3EI20pMYtWO_vlLnxQmtO3iT9Y,NOO_INBOX,Y,5/13/2026,admin
ASWSUM1,NAD2,DAKTN001,CV. MITRA BERKAT SABE KUTACANE,13-_cmZ7VUAnYAhVlhYqLYaNlKtb_BWAVmktw_vo457Q,NOO_INBOX,Y,5/13/2026,admin
ASWSUM1,SUMUT1,DAMDN004,CV. SAUDARA MANDIRI JAYA MEDAN BARAT,1oft2osIYloRVmP59kZx5_RKd2X-NZXVtyn3pM3keOZg,NOO_INBOX,Y,5/13/2026,admin
ASWSUM1,SUMUT1,DAMDN02,PT. MITRA BOGA SUMATERA MEDAN TIMUR,1FROm7DUT_lZXwJNKEjivFb6eFgx87AJx_Ujz7HdBCd0,NOO_INBOX,Y,5/13/2026,admin
ASWSUM1,SUMUT1,DAMDN001,PT. CITRAPRIMA ADILESTARI MEDAN HCO,1UqsneIQAgt98y9IuNohpmtbiOf7GNNFbgBgIfJQzI-4,NOO_INBOX,Y,5/13/2026,admin
ASWSUM1,SUMUT1,DAMDN003,CV. DWI TUNGGAL SENTOSA (NON ACTIVE) ,1rtbz3kYSDWsZxZ199Wy8wp_5TXHO8Bzoh6bZz0oX2YI,NOO_INBOX,Y,7/1/2026,admin
ASWSUM1,SUMUT3,DAPMS001,PT. BINTANG MUTIARA CEMERLANG P SIANTAR,1OgCIlLgrQ6-6FAlG0_oICxmXJf1Xb1-xjHHYW4WiB2Q,NOO_INBOX,Y,5/13/2026,admin
ASWSUM1,SUMUT3,DABLG001,CV. SIANTAR SIMALUNGUN SEJATI TOBASA,1kXwF160swtBa9g0GKbFI3sLzSb_Z6i6YgR1kh2ixlhc,NOO_INBOX,Y,5/13/2026,admin
ASWSUM1,SUMUT3,DASBG001,CV. BINTANG MEGA CEMERLANG SIBOLGA,1rifz3-7TxWE9U8Zs4z-0ZIW5ASoLJ_AQ1qixVpcueHE,NOO_INBOX,Y,5/13/2026,admin
ASWSUM1,SUMUT3,DAPSP001,CV. BINTANG TERANG PADANG SIDEMPUAN,17epQfYfYeFzFNRD8d1TbxYfPJId3aMt4fWf-8sJJo20,NOO_INBOX,Y,5/13/2026,admin
ASWSUM1,SUMUT3,DAPYB002,CV. NUANSA WIJAKSONO PANYABUNGAN,11qZ7wIcTW5JkDtsfGj7F4zpKKjU8Zb27TsTOjj39RXs,NOO_INBOX,Y,5/13/2026,admin
ASWSUM1,SUMUT3,DAPLS001,CV. HIFA GEMILANG RAYA PADANG LAWAS,1N866AKBS59fbp3F5kJeOfG1QSPF5n-4cJ-sVA7B7yw0,NOO_INBOX,Y,5/13/2026,admin
ASWSUM1,SUMUT3,DAGST001,CV. WIRAMAS KARYA NIAS,1QijC9uJ09OAbOK1CI1YlUEaQeVy1WVqVdPl0RNHmSQU,NOO_INBOX,Y,5/13/2026,admin
ASWSUM2,RIAU1,DATLK003,CV. BERKAH BUDI LANGGENG TALUK KUANTAN,1xGJaccinW7jKhYFO8oBnqM6Av23CEIskz35E1v2zZcQ,NOO_INBOX,Y,4/30/2026,admin
ASWSUM2,RIAU1,DAAMK002,PT HENSON ALFA GROS AIR MOLEK,13-VFeefo2EN8RLYegIkrXJQ1IV7xj6LbX8rtjBBdV-Q,NOO_INBOX,Y,4/30/2026,admin
ASWSUM2,RIAU1,DAKMP001,CV CIPTA NIAGA NUSANTARA KAMPAR,1USoJ8qihZlIZpwINpM4J9kybkEr-pcFXwmcGBVw9w2E,NOO_INBOX,Y,5/13/2026,admin
ASWSUM2,RIAU1,DAPBR001,CV BINTANG TERANG PEKANBARU,1EoeVmwYkZCEHVMYQh2jej9Xz7rJhTwigKJw65v4cV3E,NOO_INBOX,Y,4/30/2026,admin
ASWSUM2,RIAU1,DAPBR002,PT JAYA PALEMBANG SUKSES PEKANBARU MT,1P741xvBCL5FZ_YT8XXT_drUP-8r-2Y3u1GtHCrspw4c,NOO_INBOX,Y,4/30/2026,admin
ASWSUM2,RIAU1,DAPRP001,CV BINTANG TERANG UJUNG BATU,1S6z2qjs1Q_pPUCbc5WkExVp5RMeweWQtMkQxFkXaslM,NOO_INBOX,Y,4/30/2026,admin
ASWSUM2,RIAU1,DARGT001,PT PRESTASI SURYA BAHARI PEMATANG REBA,1_AWxM5yxUsf593eVBqUGbAhY9RKk8WH3_4DPc1bfeBA,NOO_INBOX,Y,4/30/2026,admin
ASWSUM2,RIAU1,DATBH001,PT MAJU JAYA SUKSES MAKMUR TEMBILAHAN,1bCWnf8XvrYKr_YmC1vBd_EVKK-ZwLDzFqsSQ--uciCQ,NOO_INBOX,Y,4/30/2026,admin
ASWSUM2,SUMBAR,DABKT002,PT. YAFINDO MITRA PRIMA BUKITTINGGI,1EFyqum5qh0kzv_AK3nmLWVdlVKVOolwsZwzSi543jKM,NOO_INBOX,Y,4/30/2026,admin
ASWSUM2,SUMBAR,DAPAD002,PT YAFINDO MITRA PERMATA PADANG,16QqjC3ILOAvUzSc4yIXehEcUxdg1PGi5fI-0DEATczw,NOO_INBOX,Y,4/30/2026,admin
ASWSUM2,SUMBAR,DAPMN001,PT TUNAS GLOBAL CEMERLANG PARIAMAN,1g8wX9ayIsFurWI9l9e8XAWF18IrlxMJPH73Prd-EaOQ,NOO_INBOX,Y,4/30/2026,admin
ASWSUM2,SUMBAR,DASLK001,PT RESBU JAYA DISTRIBUSI SOLOK,1vgvfZq0IeQQIsrcBf9dU6YstScWbLwuGCfMiXMYeFuw,NOO_INBOX,Y,4/30/2026,admin
ASWSUM2,SUMBAR,DASLK002,PT RESBU JAYA DISTRIBUSI DHAMASRAYA,1LzKMzSKDoCkqPzeDbKSA5Fuzb2TavlK1CRBqHRAfyfY,NOO_INBOX,Y,5/20/2026,admin
ASWSUM2,JAMBI,DAJMB001,CV. HARAPAN MULYA JAMBI,1iBUHkiTCSpAo_IBnPZ7vV5oLkFVxLZIzPA0K-LEJiUA,NOO_INBOX,Y,4/30/2026,admin
ASWSUM2,JAMBI,DASPN001,PT. MANNA DISTRINDO SUNGAI PENUH,1lnTxx-qok3hB4y4n_laRaRaLTWocWr5YF8owWzqo-iI,NOO_INBOX,Y,4/30/2026,admin
ASWSUM2,JAMBI,DAMRB001,PT. ANEKA GEMILANG SEJAHTERA MUARA BUNGO,1phDcUIBbeGgukC_Xa71sTNfYlBhH6LukwzlIutx9ZJM,NOO_INBOX,Y,4/30/2026,admin
ASWSUM2,RIAU2,DAPKK002,PT. HENSON ALFA GROS KERINCI,18_PDlZjDWc2Yb79zFK-6Fg_YWgoQHCS_bPwAXQOGAzg,NOO_INBOX,Y,4/30/2026,admin
ASWSUM2,RIAU2,DASAK001,PT. SURYA BHAKTI PRIMA SIAK,1Izan3WVBkzzJzoch6qpycV__ZfFcwapcJ8iS7h1qfk4,NOO_INBOX,Y,4/30/2026,admin
ASWSUM2,RIAU2,DATTG001,PT. YASA ASIA SEJAHTERA SELAT PANJANG,1m-mRaGGLqNvU8vXNdE9Jblovy-U_ZmQxhhnJd1N3IjA,NOO_INBOX,Y,4/30/2026,admin
ASWSUM2,RIAU2,DAUJT002,CV. SINAR JAYA BAGAN SIAPI-API,19L_NYcNcz3aWrmVKle_k6spKNabAVJPeaujdWkgQFQE,NOO_INBOX,Y,4/30/2026,admin
ASWSUM2,RIAU2,DAUJT003,PT. HENSON ALFA GROS BAGAN BATU,1wNTuxMoVuSjvxcac5XUOQkTwERrU2cVo8UEXPsoslcE,NOO_INBOX,Y,4/30/2026,admin
ASWSUM2,RIAU2,DABLS004,PT. HENSON ALFA GROS KANDIS DURI,1vlUTLETV4ZFFc-AaXjfzmwK3mirHvFJO-j5BwW6_O7k,NOO_INBOX,Y,4/30/2026,admin
ASWSUM2,RIAU2,DADUM001,PT. PRESTASI SURYA BAHARI DUMAI,1Ayp0Sf7tZPTo0SA3a25O8Fed6WMI6REkME0ndo-DQrE,NOO_INBOX,Y,4/30/2026,admin
