region_code,region_name,principal_code,principal_name,entity_code_principal,entity_name_principal,branch_id,branch_name,area_code,pin_branch,active,updated_by
ASWSUM1,ASW SUMATERA 1,A,ASWFOODS,ASW11,ASW NAD 1,DABNJ001,CV. MITRA JAYA ABADI LANGKAT,SUM1,6666,Y,
ASWSUM1,ASW SUMATERA 1,A,ASWFOODS,ASW11,ASW NAD 1,DALGS001,CV. SEMANGAT BAROE LANGSA,SUM1,7777,Y,
ASWSUM1,ASW SUMATERA 1,A,ASWFOODS,ASW11,ASW NAD 1,DALSK001,UD. USDA BARU LHOKSUKON,SUM1,8888,Y,
ASWSUM1,ASW SUMATERA 1,A,ASWFOODS,ASW11,ASW NAD 1,DATKG001,PT. INAYA DARKA ABADI TAKENGON,SUM1,1111,Y,
ASWSUM1,ASW SUMATERA 1,A,ASWFOODS,ASW11,ASW NAD 1,DABIR002,UD. AD RAHMAT BIREUN,SUM1,2222,Y,
ASWSUM1,ASW SUMATERA 1,A,ASWFOODS,ASW12,ASW NAD 2,DABNA001,PT. SUKSES JAYA MAKMUR ABADI BANDA ACEH,SUM1,3333,Y,
ASWSUM1,ASW SUMATERA 1,A,ASWFOODS,ASW12,ASW NAD 2,DASGI002,PT. SUKSES JAYA MAKMUR ABADI SIGLI,SUM1,4444,Y,
ASWSUM1,ASW SUMATERA 1,A,ASWFOODS,ASW12,ASW NAD 2,DAMBO001,CV. AGRA DISTRIBUSI TAMA MEULABOH,SUM1,5555,Y,
ASWSUM1,ASW SUMATERA 1,A,ASWFOODS,ASW12,ASW NAD 2,DABPD001,CV. MEUTUAH RAYA BLANGPIDIE,SUM1,6666,Y,
ASWSUM1,ASW SUMATERA 1,A,ASWFOODS,ASW12,ASW NAD 2,DASBS001,PT. BEUDOH MAKMUE ACEH SUBUSSALAM,SUM1,7777,Y,
ASWSUM1,ASW SUMATERA 1,A,ASWFOODS,ASW12,ASW NAD 2,DAKTN001,CV. MITRA BERKAT SABE KUTACANE,SUM1,8888,Y,
ASWSUM1,ASW SUMATERA 1,A,ASWFOODS,ASW13,ASW SUMUT 1,DAMDN004,CV. SAUDARA MANDIRI JAYA MEDAN BARAT,SUM1,1111,Y,
ASWSUM1,ASW SUMATERA 1,A,ASWFOODS,ASW13,ASW SUMUT 1,DAMDN02,PT. MITRA BOGA SUMATERA MEDAN TIMUR,SUM1,2222,Y,
ASWSUM1,ASW SUMATERA 1,A,ASWFOODS,ASW13,ASW SUMUT 1,DAMDN003,CV. DWI TUNGGAL SENTOSA (NON ACTIVE) ,SUM1,1111,Y,
ASWSUM1,ASW SUMATERA 1,A,ASWFOODS,ASW13,ASW SUMUT 1,DAMDN001,PT. CITRAPRIMA ADILESTARI MEDAN HCO,SUM1,3333,Y,
ASWSUM1,ASW SUMATERA 1,A,ASWFOODS,ASW14,ASW SUMUT 2,DARAP001,CV PANCA NIAGA JAYA RANTAU PRAPAT,SUM1,7777,Y,
ASWSUM1,ASW SUMATERA 1,A,ASWFOODS,ASW14,ASW SUMUT 2,DAKPI001,CV BOROBUDUR INDAH KOTA PINANG,SUM1,8888,Y,
ASWSUM1,ASW SUMATERA 1,A,ASWFOODS,ASW14,ASW SUMUT 2,DAAKK002,CV. ASIA JAYA AEK KANOPAN ,SUM1,1111,Y,
ASWSUM1,ASW SUMATERA 1,A,ASWFOODS,ASW14,ASW SUMUT 2,DAKBJ001,CV. KARYA BARU BERSAMA KABAN JAHE,SUM1,2222,Y,
ASWSUM1,ASW SUMATERA 1,A,ASWFOODS,ASW14,ASW SUMUT 2,DAPKIS001,CV. PANCA NIAGA JAYA KISARAN ,SUM1,3333,Y,
ASWSUM1,ASW SUMATERA 1,A,ASWFOODS,ASW14,ASW SUMUT 2,DASRH002,CV. CENTRAL ONE KAMPUNG PON,SUM1,4444,Y,
ASWSUM1,ASW SUMATERA 1,A,ASWFOODS,ASW14,ASW SUMUT 2,DATBT001,CV. CENTRAL ONE INDRAPURA,SUM1,5555,Y,
ASWSUM1,ASW SUMATERA 1,A,ASWFOODS,ASW14,ASW SUMUT 2,DASDK002,CV. NIAGA AGRO SENTOSA SIDIKALANG,SUM1,3333,Y,
ASWSUM1,ASW SUMATERA 1,A,ASWFOODS,ASW15,ASW SUMUT 3,DAPMS001,PT. BINTANG MUTIARA CEMERLANG P SIANTAR,SUM1,4444,Y,
ASWSUM1,ASW SUMATERA 1,A,ASWFOODS,ASW15,ASW SUMUT 3,DABLG001,CV. SIANTAR SIMALUNGUN SEJATI TOBASA,SUM1,5555,Y,
ASWSUM1,ASW SUMATERA 1,A,ASWFOODS,ASW15,ASW SUMUT 3,DASBG001,CV. BINTANG MEGA CEMERLANG SIBOLGA,SUM1,6666,Y,
ASWSUM1,ASW SUMATERA 1,A,ASWFOODS,ASW15,ASW SUMUT 3,DAPSP001,CV. BINTANG TERANG PADANG SIDEMPUAN,SUM1,7777,Y,
ASWSUM1,ASW SUMATERA 1,A,ASWFOODS,ASW15,ASW SUMUT 3,DAPYB002,CV. NUANSA WIJAKSONO PANYABUNGAN,SUM1,8888,Y,
ASWSUM1,ASW SUMATERA 1,A,ASWFOODS,ASW15,ASW SUMUT 3,DAPLS001,CV. HIFA GEMILANG RAYA PADANG LAWAS,SUM1,1111,N,
ASWSUM1,ASW SUMATERA 1,A,ASWFOODS,ASW15,ASW SUMUT 3,DAGST001,CV. WIRAMAS KARYA NIAS,SUM1,2222,Y,
